id,seq_len,gravy,tiny,small,aliphatic,aromatic,non_polar,polar,charged,basic,acidic,helix,turn,sheet
Minc3s00001g00059,340,-0.24117647058823574,0.36764705882352944,0.5176470588235295,0.2676470588235294,0.10882352941176471,0.5176470588235295,0.4823529411764706,0.23529411764705882,0.12058823529411765,0.11470588235294117,0.2647058823529411,0.23823529411764707,0.2323529411764706
Minc3s00002g00155,202,-1.1089108910891095,0.31683168316831684,0.3514851485148515,0.1782178217821782,0.06930693069306931,0.3514851485148515,0.6485148514851486,0.28712871287128716,0.18811881188118812,0.09900990099009901,0.18811881188118812,0.3069306930693069,0.17326732673267325
Minc3s00006g00398,276,-0.32427536231884097,0.2536231884057971,0.5253623188405797,0.23550724637681159,0.10507246376811595,0.5253623188405797,0.4746376811594203,0.2608695652173913,0.11594202898550725,0.14492753623188406,0.2971014492753623,0.23550724637681159,0.25
Minc3s00006g00399,588,-0.7688775510204066,0.29931972789115646,0.4523809523809524,0.22789115646258504,0.0901360544217687,0.4523809523809524,0.5476190476190477,0.2772108843537415,0.13945578231292516,0.13775510204081634,0.23299319727891157,0.3010204081632653,0.23469387755102042
Minc3s00006g00405,1296,-0.5645061728395052,0.2515432098765432,0.4552469135802469,0.26929012345679015,0.09182098765432099,0.4552469135802469,0.5447530864197532,0.30169753086419754,0.1396604938271605,0.16203703703703703,0.2785493827160494,0.2067901234567901,0.2962962962962963
Minc3s00006g00420,151,-0.30264900662251654,0.2251655629139073,0.5033112582781457,0.2251655629139073,0.15231788079470202,0.5033112582781457,0.4966887417218543,0.31125827814569534,0.17218543046357618,0.1390728476821192,0.32450331125827814,0.2317880794701987,0.20529801324503313
Minc3s00009g00625,578,-0.715224913494809,0.24394463667820065,0.4498269896193771,0.27162629757785467,0.07958477508650519,0.4498269896193771,0.5501730103806228,0.3044982698961938,0.15397923875432526,0.15051903114186851,0.24740484429065743,0.21453287197231835,0.2802768166089965
Minc3s00009g00626,274,-0.8558394160583932,0.20437956204379562,0.4781021897810219,0.16058394160583941,0.08759124087591241,0.4781021897810219,0.5218978102189781,0.10218978102189781,0.06569343065693431,0.0364963503649635,0.1642335766423358,0.33576642335766427,0.22262773722627738
Minc3s00011g00723,427,-0.23138173302107773,0.21545667447306793,0.5058548009367682,0.30913348946135827,0.0936768149882904,0.5058548009367682,0.49414519906323184,0.2810304449648712,0.13114754098360656,0.14988290398126464,0.34192037470725994,0.22716627634660425,0.26932084309133486
Minc3s00014g00955,1097,-0.23181403828623462,0.2743846855059252,0.536007292616226,0.317228805834093,0.11759343664539654,0.536007292616226,0.4639927073837739,0.23062898814949861,0.1276207839562443,0.10300820419325432,0.3053783044667274,0.21786690975387418,0.27438468550592526
Minc3s00015g01013,550,-0.006181818181818226,0.31636363636363635,0.5636363636363636,0.3563636363636364,0.06909090909090909,0.5636363636363636,0.43636363636363634,0.23636363636363636,0.1181818181818182,0.11818181818181817,0.2909090909090909,0.20363636363636364,0.31272727272727274
Minc3s00015g01017,1300,-0.6547692307692323,0.32076923076923075,0.46,0.2353846153846154,0.08615384615384616,0.46,0.54,0.1930769230769231,0.1123076923076923,0.08076923076923076,0.24307692307692308,0.3346153846153846,0.20076923076923076
Minc3s00015g01030,131,-0.005343511450381555,0.22900763358778628,0.5419847328244275,0.35114503816793896,0.07633587786259542,0.5419847328244275,0.4580152671755725,0.2748091603053435,0.1450381679389313,0.1297709923664122,0.3282442748091603,0.1984732824427481,0.2595419847328244
Minc3s00016g01070,104,-0.398076923076923,0.21153846153846156,0.5288461538461539,0.3076923076923077,0.14423076923076925,0.5288461538461539,0.47115384615384615,0.3269230769230769,0.1826923076923077,0.14423076923076922,0.31730769230769235,0.17307692307692307,0.28846153846153844
Minc3s00019g01192,300,-0.2760000000000001,0.25666666666666665,0.5499999999999999,0.32,0.10333333333333333,0.5499999999999999,0.45000000000000007,0.2366666666666667,0.11000000000000001,0.12666666666666668,0.31666666666666665,0.21666666666666667,0.25666666666666665
Minc3s00019g01195,723,-0.6360995850622391,0.28077455048409405,0.44674965421853385,0.22544951590594742,0.09820193637621023,0.44674965421853385,0.553250345781466,0.289073305670816,0.15214384508990317,0.13692946058091285,0.2586445366528354,0.26556016597510373,0.22683264177040108
Minc3s00019g01236,290,-0.029310344827586158,0.32758620689655177,0.5655172413793105,0.3206896551724138,0.11724137931034483,0.5655172413793105,0.43448275862068964,0.2482758620689655,0.12413793103448276,0.12413793103448276,0.30689655172413793,0.2206896551724138,0.2689655172413793
Minc3s00019g01256,869,-0.40863060989643096,0.25431530494821636,0.4683544303797468,0.2761795166858458,0.11967779056386652,0.4683544303797468,0.5316455696202532,0.27848101265822783,0.1472957422324511,0.13118527042577674,0.31185270425776757,0.1956271576524741,0.26927502876869963
